ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW7,AW8,AW9A,AW9B,AW9C,AW19,AW20,AW21
678,838,1,5,1,1,,3,1,0,1,2,0,0,39,3,4,,,2,,1,2,0,2,2,3,0.495,0.554,54,1,4,5,0,,,2,2,1,2,1,1,2,,3
679,838,2,1,2,1,,3,2,1,1,0,0,1,24,2,98,8,,2,,1,1,0,2,1,3,1.55,2.977,45,2,,,,,,,,,,,,1,,4
680,838,1,3,1,3,1,1,,1,0,,,,67,5,4,,,2,,1,1,0,1,1,2,0.623,0.599,39,2,,,,,,,,,,,,1,,4
681,838,1,2,1,3,1,2,2,1,1,,,,68,2,6,,,2,,1,2,1,1,1,3,0.431,0.828,12,1,4,5,2,,1,,2,1,1,1,1,2,,4
682,838,1,1,1,2,,1,,1,0,,,,53,4,3,,,2,,1,1,0,1,1,2,0.553,0.531,39,1,3,5,1,2,,,1,1,2,2,1,1,,3
683,838,2,1,1,3,5,1,,1,0,,,,39,1,1,,,2,,1,3,0,1,1,3,1.9,1.825,12,1,3,5,2,,1,,2,1,1,1,2,3,1,1
684,838,1,2,1,1,,2,2,1,1,,,,60,2,7,,,2,,1,2,0,1,1,1,0.799,1.628,42,1,3,5,2,,1,,2,2,1,1,2,2,,2
685,838,2,1,1,1,,2,2,1,1,,,,27,4,8,,,2,,1,1,0,1,2,1,0.561,1.1,36,1,3,5,2,,2,,3,2,2,1,2,1,,4
686,838,2,2,1,1,,2,2,1,1,,,,28,3,7,,,2,,1,1,0,1,1,2,0.866,1.663,39,2,,,,,,,,,,,,1,,4
687,838,1,2,2,3,1,2,2,1,1,,,,67,2,3,,,2,,1,1,0,2,1,1,1.295,2.094,9,1,4,5,1,1,,,1,1,2,3,2,1,,4
688,838,1,2,1,1,,3,3,1,2,,,,52,5,8,,,2,,1,3,0,1,1,3,0.577,1.178,47,1,4,5,2,,2,,2,1,1,1,2,3,7,4
689,838,2,1,1,3,4,2,1,0,1,0,0,1,22,2,2,,,2,,1,2,0,2,2,1,0.85,0.916,50,1,3,4,2,,2,,2,1,3,1,2,2,,3
690,838,1,2,1,3,1,2,2,1,1,,,,58,2,3,,,2,,1,3,0,2,1,1,0.687,1.398,42,1,3,5,1,1,,,1,1,3,2,8,3,2,4
691,838,1,2,1,1,,5,2,1,1,2,1,0,42,3,8,,,2,,1,1,0,1,1,1,0.687,1.397,36,1,2,5,8,,,2,3,1,2,1,2,1,,5
692,838,1,2,1,2,,2,2,1,1,,,,59,2,8,,,2,,1,1,0,2,2,1,0.494,0.968,36,2,,,,,,,,,,,,1,,4
693,838,2,3,1,1,,3,1,0,1,0,0,2,27,2,99,9,,2,,1,8,0,2,1,1,0.9,0.917,42,2,,,,,,,,,,,,8,2,4
694,838,1,2,1,1,,3,2,1,1,0,1,0,47,2,7,,,2,,1,3,0,1,2,2,0.426,0.966,18,1,3,5,1,1,,,1,1,3,1,3,3,2,4
695,838,2,2,1,1,,2,2,1,1,,,,23,4,6,,,2,,1,1,0,1,1,3,1.474,2.477,48,2,,,,,,,,,,,,1,,4
696,838,1,2,1,1,,5,3,2,1,2,0,0,42,2,8,,,2,,1,8,0,2,1,2,0.595,1.141,26,1,3,5,2,,1,,2,7,1,1,3,8,8,4
697,838,1,5,1,1,,3,2,1,1,1,0,0,43,2,5,,,2,,1,1,0,1,2,3,0.524,1.173,37,1,4,5,1,1,,,1,1,3,3,3,1,,3
698,838,1,5,1,1,,1,,1,0,,,,56,4,8,,,2,,1,3,0,1,1,3,0.695,0.668,51,1,4,5,2,,1,,2,1,3,1,1,3,1,3
699,838,2,2,1,3,2,5,3,2,1,2,0,0,38,3,9,,2,2,,1,3,0,2,1,3,0.682,1.309,51,1,4,5,8,,,1,1,1,2,2,2,3,2,2
700,838,1,2,1,1,,2,2,1,1,,,,32,2,8,,,2,,1,1,0,1,2,3,0.72,1.612,13,1,4,5,1,1,,,1,1,3,1,1,1,,5
701,838,1,1,2,2,,4,4,3,1,,,,23,3,98,8,,2,,1,3,0,1,1,2,0.594,2.281,26,1,2,5,8,,,1,8,1,2,2,2,3,2,4
702,838,2,2,1,1,,4,2,1,1,0,0,2,35,4,6,,,2,,2,2,0,1,1,3,0.848,1.631,24,2,,,,,,,,,,,,2,,2
703,838,2,5,1,3,4,3,1,0,1,0,2,0,40,3,2,,,2,,1,2,0,2,1,2,0.595,0.571,26,1,2,5,1,2,,,1,1,3,1,2,2,,3
704,838,1,1,1,1,,4,2,1,1,2,0,0,20,4,7,,,1,1,,1,1,1,1,3,0.34,0.653,24,2,,,,,,,,,,,,1,,4
705,838,2,1,1,3,3,4,4,0,4,,,,19,3,1,,,2,,1,2,0,2,1,1,1.474,3.002,42,2,,,,,,,,,,,,2,,3
