ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,WP1,WP2,WP3,WP4A,WP4B,WP4C,WP5,WP6
71,928,1,1,2,1,,3,3,2,1,,,,25,2,6,,,2,,1,1,0,1,1,1,0.498,1.608,25,3,4,1,2,,,,
72,928,1,2,1,2,,2,2,1,1,,,,65,2,4,,,2,,1,3,0,1,2,3,0.412,0.923,45,3,5,1,1,,,,
73,928,1,1,2,2,,3,3,2,1,,,,18,2,98,1,,1,1,,1,0,1,1,3,0.788,2.737,47,1,3,3,,,2,1,
74,928,2,5,1,1,,1,,0,1,,,,63,4,3,,,2,,1,3,0,2,2,2,0.712,1.307,29,4,5,3,,,1,2,
75,928,1,2,2,3,5,2,2,1,1,,,,41,4,6,,,2,,1,3,0,2,2,4,0.585,1.322,6,4,5,1,1,,,,
76,928,1,2,1,1,,3,2,1,1,1,0,0,33,2,99,9,,2,,1,1,0,2,2,3,0.964,1.863,22,3,5,8,,,,,1
77,928,1,5,1,1,,1,,1,0,,,,79,1,2,,,2,,1,2,0,1,1,4,4.467,4.222,6,3,5,2,,1,,,
78,928,1,1,2,2,,4,4,3,1,,,,19,2,7,,,2,,1,2,0,1,1,2,0.769,2.85,17,2,4,8,,,,,1
79,928,2,2,1,1,,6,2,1,1,0,2,2,37,2,8,,,2,,1,3,1,1,1,2,0.361,0.668,55,3,5,2,,2,,,
80,928,1,2,1,1,,3,3,2,1,,,,43,3,8,,,2,,5,3,0,2,2,3,0.418,0.935,37,4,5,2,,2,,,
81,928,1,2,1,1,,5,4,3,1,1,0,0,44,2,8,,,2,,1,2,0,2,1,2,0.759,1.406,17,3,5,2,,2,,,
82,928,1,4,1,1,,1,,1,0,,,,72,3,5,,,2,,1,1,0,1,2,3,0.415,0.464,24,3,5,3,,,2,0,
