ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW6A,AW7,AW8,AW9,AW10A,AW10B
70,833,1,2,1,1,,4,2,1,1,0,0,2,32,2,7,,,2,,1,3,0,1,2,2,1.138,2.008,38,1,1,5,2,,2,,2,1,1,3,,
71,833,1,2,1,3,1,2,2,1,1,,,,73,1,1,,,2,,2,3,0,1,1,3,3.519,5.796,48,1,1,4,8,,,8,8,8,1,3,,
72,833,2,5,1,2,,1,,0,1,,,,64,3,1,,,2,,1,1,0,2,2,2,0.687,1.212,31,1,4,5,1,2,,,1,1,2,1,2,
73,833,1,1,2,1,,4,4,2,2,,,,21,3,4,,,2,,1,3,0,1,2,2,0.421,1.796,17,1,3,5,2,,1,,3,7,1,3,,
74,833,1,2,1,1,,5,2,1,1,0,3,0,36,3,7,,,2,,1,1,0,1,2,3,0.384,0.896,37,1,4,5,1,2,,,1,2,1,3,,
75,833,1,2,1,3,2,3,3,2,1,,,,48,2,5,,,2,,1,1,0,2,1,1,0.958,1.763,42,1,4,5,1,2,,,1,1,1,1,2,
76,833,1,5,1,1,,1,,1,0,,,,49,2,1,,,2,,1,1,0,1,2,3,1.21,1.241,48,1,4,5,1,1,,,1,1,1,3,,
77,833,1,5,1,1,,3,3,2,1,,,,45,2,7,,,2,,1,3,0,2,2,3,0.608,1.437,28,2,,,,,,,,,8,3,,
78,833,1,2,1,3,2,2,2,1,1,,,,29,6,3,,,2,,1,2,0,2,2,2,1.221,2.156,27,2,,,,,,,,,8,1,8,
79,833,1,1,2,1,,4,3,2,1,1,0,0,19,3,9,,2,2,,1,1,0,1,1,1,0.664,2.445,42,1,2,3,1,2,,,1,7,1,2,,2
80,833,1,2,1,3,1,2,2,1,1,,,,61,2,6,,,2,,1,1,0,1,1,3,0.901,1.817,37,1,3,5,1,1,,,0,1,1,3,,
81,833,2,1,1,1,,1,,0,1,,,,30,5,5,,,2,,2,2,0,2,1,3,1.096,2.21,24,2,,,,,,,,,1,2,,2
82,833,1,4,1,3,1,1,,1,0,,,,72,3,1,,,2,,1,2,0,1,2,3,0.441,0.514,45,1,3,5,2,,2,,2,2,1,3,,
83,833,1,2,1,3,1,2,2,1,1,,,,78,4,5,,,2,,1,1,0,1,1,1,1.774,3.5,25,1,3,5,1,1,,,1,1,1,1,1,
84,833,2,1,1,1,,2,2,1,1,,,,23,3,3,,,2,,1,3,0,1,1,3,1.191,1.963,22,1,3,5,2,,1,,2,1,1,3,,
85,833,1,1,1,1,,2,2,0,2,,,,27,4,8,,,2,,1,1,0,2,1,1,0.885,1.632,34,1,1,4,2,,2,,3,7,1,1,1,
86,833,1,2,1,1,,2,2,1,1,,,,52,1,3,,,2,,1,2,0,2,2,1,2.019,5.356,36,1,3,5,2,,2,,3,2,2,3,,
87,833,1,2,1,1,,2,2,1,1,,,,49,3,5,,,2,,1,1,0,1,2,3,0.563,1.329,28,1,3,5,1,1,,,1,1,1,3,,
88,833,1,2,1,3,1,2,2,1,1,,,,68,1,7,,,2,,1,1,0,1,2,1,2.404,5.01,50,1,3,5,8,,,8,3,1,1,3,,
89,833,1,2,1,1,,5,3,1,2,0,1,1,40,5,7,,,2,,1,2,0,1,1,2,1.234,1.867,29,1,2,4,1,1,,,3,1,1,3,,
90,833,1,1,2,1,,4,3,2,1,1,0,0,22,5,3,,,2,,2,2,0,1,1,3,0.82,3.311,37,1,4,5,2,,1,,2,2,1,2,,2
91,833,1,1,2,2,,5,5,3,2,,,,19,1,9,,1,2,,1,1,0,2,2,3,0.469,2.193,12,1,1,4,2,,2,,2,7,1,2,,1
92,833,1,4,1,3,1,1,,0,1,,,,73,3,4,,,2,,1,1,0,2,1,2,0.36,0.673,26,1,3,5,8,,,2,2,1,1,3,,
93,833,1,2,1,1,,4,2,1,1,2,0,0,46,5,8,,,2,,1,3,1,1,2,2,0.354,0.625,20,1,4,5,1,1,,,3,1,1,1,1,
94,833,1,4,1,1,,3,2,1,1,1,0,0,38,2,8,,,2,,1,1,0,2,1,3,1.094,1.894,21,1,2,5,1,1,,,1,1,1,1,2,
95,833,1,3,1,1,,3,3,2,1,,,,36,3,9,,1,2,,1,3,2,1,1,3,0.496,1.719,21,2,,,,,,,,,1,2,,2
96,833,1,2,1,3,2,4,2,1,1,0,1,1,31,2,7,,,2,,1,3,0,2,1,2,2.417,3.654,29,2,,,,,,,,,1,3,,
97,833,1,2,2,3,2,4,2,1,1,0,1,1,40,4,3,,,2,,1,2,0,2,1,3,0.507,1.023,12,2,,,,,,,,,8,2,,2
98,833,1,5,1,1,,1,,1,0,,,,43,4,4,,,2,,1,1,0,1,1,3,1.067,0.878,22,1,2,5,8,,,1,1,1,1,3,,
99,833,1,2,1,1,,2,2,1,1,,,,72,4,5,,,2,,1,1,0,1,2,3,0.235,0.548,37,1,3,5,1,1,,,1,1,1,3,,
100,833,2,5,1,1,,2,2,2,0,,,,24,3,8,,,2,,1,1,0,1,1,2,0.515,0.963,26,1,3,5,1,2,,,1,1,2,3,,
101,833,1,2,2,3,1,4,2,1,1,2,0,0,58,3,1,,,2,,2,2,0,2,2,3,0.663,1.567,28,1,4,5,2,,1,,2,2,2,2,,2
102,833,2,2,1,1,,6,2,1,1,1,3,0,40,2,4,,,2,,2,2,0,1,1,3,0.965,1.946,37,1,4,3,2,,1,,2,7,2,2,,2
103,833,2,2,1,1,,2,2,1,1,,,,28,4,8,,,2,,1,3,0,1,1,1,0.825,1.519,36,1,3,5,8,,,8,1,1,1,2,,1
104,833,1,2,1,3,1,2,2,1,1,,,,66,2,5,,,2,,1,2,0,1,1,2,0.487,0.911,39,1,3,5,9,,,2,2,2,8,3,,
105,833,1,2,1,3,4,3,3,2,1,,,,59,2,3,,,2,,1,2,0,1,1,1,1.164,4.287,42,1,4,5,2,,2,,2,2,2,2,,2
106,833,1,2,1,1,,2,2,1,1,,,,61,2,6,,,2,,1,3,0,2,1,2,0.507,0.949,39,1,4,5,2,,1,,2,2,1,3,,
107,833,1,2,1,1,,2,2,1,1,,,,61,2,4,,,2,,2,2,0,2,1,3,0.808,1.631,13,1,2,5,2,,1,,2,2,8,3,,
108,833,1,9,1,1,,9,,,,,,,41,5,9,,1,1,1,,0,3,1,1,1,0.548,0.504,34,1,4,5,2,,2,,3,1,2,2,,2
109,833,2,2,1,1,,2,2,1,1,,,,23,2,2,,,2,,1,8,0,2,1,1,0.955,1.758,36,2,,,,,,,,,1,8,,
110,833,1,2,1,1,,3,3,2,1,,,,54,3,8,,,2,,1,2,0,1,1,3,0.685,2.764,24,1,3,5,2,,2,,2,2,1,3,,
111,833,1,2,1,3,1,2,2,1,1,,,,65,2,2,,,2,,2,2,0,1,2,3,0.493,1.151,45,1,3,5,2,,1,,2,2,2,3,,
112,833,1,2,1,1,,4,2,1,1,1,0,1,37,3,9,,1,2,,1,1,0,2,2,1,0.483,1.283,42,1,3,5,2,,8,,2,1,1,3,,
113,833,2,1,1,3,3,2,1,0,1,1,0,0,21,2,1,,,2,,2,3,0,2,1,2,1.184,1.107,26,2,,,,,,,,,2,3,,
114,833,1,2,2,3,1,2,2,1,1,,,,80,4,3,,,2,,1,3,0,2,1,3,0.427,0.862,12,1,4,5,8,,,8,9,1,2,3,,
115,833,1,2,1,3,2,2,2,1,1,,,,50,2,6,,,2,,1,1,0,2,1,3,1.719,2.831,40,1,4,5,1,1,,,1,1,1,3,,
116,833,1,2,1,1,,4,4,2,2,,,,57,5,9,,1,2,,1,3,3,1,1,3,0.343,1.384,24,1,4,5,2,,2,,3,1,8,2,,1
117,833,1,2,1,2,,4,2,1,1,0,1,1,37,3,6,,,2,,1,3,0,2,1,1,0.86,1.584,36,1,3,5,2,,2,,2,7,2,2,,2
