ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,WEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW6A,AW7,AW8
69,932,1,4,1,3,1,1,,0,1,,,,70,6,1,,,2,,1,1,0,2,1,2,0.571,1.063,17,1,3,2,8,,,1,1,1,2
70,932,1,2,1,3,3,6,4,3,1,2,0,0,38,3,99,1,,2,,1,3,0,2,1,2,0.924,1.72,17,1,3,4,0,,,2,3,1,3
71,932,1,2,2,2,,7,2,1,1,0,4,1,30,2,7,,,2,,1,1,0,2,1,2,1.091,2.031,17,2,,,,,,,,,2
72,932,2,2,1,3,2,2,2,1,1,,,,43,1,5,,,2,,1,3,0,2,1,2,2.434,4.531,18,2,,,,,,,,,2
73,932,1,2,1,1,,2,2,1,1,,,,34,1,3,,,2,,1,3,0,1,1,2,1.893,3.525,17,2,,,,,,,,,2
74,932,1,5,1,1,,1,,1,0,,,,61,4,9,,2,2,,1,1,0,1,1,2,0.91,0.847,17,1,2,5,8,,,1,3,1,2
75,932,1,2,1,3,1,2,2,1,1,,,,83,4,3,,,2,,1,1,0,2,1,2,0.679,1.264,17,1,2,5,2,,1,,2,2,2
76,932,1,2,1,9,,7,4,2,2,0,1,2,49,3,1,,,2,,1,9,0,1,2,2,0.649,2.642,17,1,3,5,2,,1,,3,1,2
77,932,1,2,1,1,,4,2,1,1,2,0,0,29,2,4,,,2,,1,3,0,1,2,2,0.431,0.877,17,2,,,,,,,,,2
78,932,2,5,1,3,5,1,,0,1,,,,71,1,1,,,2,,1,2,0,2,2,2,0.902,1.836,17,1,3,5,2,,1,,2,1,2
79,932,1,2,1,1,,3,3,1,2,,,,48,2,8,,,2,,1,3,0,1,2,2,0.649,1.32,17,1,3,5,1,2,,,3,1,3
80,932,1,2,1,3,4,4,2,1,1,0,0,2,30,2,6,,,2,,1,3,0,2,2,2,0.654,1.331,17,1,3,3,2,,1,,2,7,8
81,932,1,2,1,1,,4,2,1,1,1,1,0,46,2,8,,,2,,1,3,0,1,2,2,0.649,1.32,17,1,3,5,8,,,0,3,1,2
82,932,1,2,1,3,1,2,2,1,1,,,,61,3,8,,,2,,1,3,0,1,1,2,1.317,2.453,17,1,4,5,2,,1,,2,2,2
83,932,1,2,1,1,,4,2,1,1,0,2,0,39,3,99,9,,2,,1,1,0,1,2,2,0.418,0.852,17,1,4,5,1,1,,,1,1,1
84,932,2,2,1,1,,5,2,1,1,1,2,0,38,3,8,,,2,,1,1,0,2,2,2,0.554,1.127,17,1,3,5,1,1,,,1,1,1
85,932,2,2,1,1,,3,2,1,1,0,0,1,48,2,2,,,2,,1,1,0,1,2,2,0.649,1.32,17,1,3,4,1,1,,,1,1,3
86,932,2,3,1,1,,1,,0,1,,,,36,3,6,,,2,,1,3,0,2,1,2,0.924,1.72,17,1,3,5,2,,1,,2,1,2
87,932,2,2,1,1,,2,2,1,1,,,,32,2,4,,,2,,5,3,0,1,1,4,0.519,1.076,32,1,3,4,2,,2,,3,7,1
88,932,1,5,1,1,,2,2,0,2,,,,46,4,6,,,2,,1,3,0,2,2,2,0.301,0.614,17,1,3,4,8,,,8,8,1,3
89,932,1,2,1,2,,2,2,1,1,,,,72,1,1,,,1,1,,2,0,1,2,2,2.263,4.605,17,1,1,2,8,,,2,2,1,2
90,932,1,2,1,3,1,2,2,1,1,,,,71,4,99,9,,2,,1,3,0,1,2,2,0.594,1.208,17,1,4,5,2,,1,,3,7,2
91,932,2,1,1,3,4,4,3,1,2,0,0,1,37,1,1,,,2,,2,2,0,1,1,4,1.948,4.033,32,2,,,,,,,,,2
92,932,1,4,1,3,5,1,,0,1,,,,91,4,2,,,2,,1,3,0,2,2,2,0.407,0.828,17,1,4,5,1,1,,,1,1,3
93,932,2,2,1,2,,3,2,1,1,0,0,1,32,4,5,,,2,,1,3,0,2,1,4,0.545,1.129,8,2,,,,,,,,,3
94,932,1,2,1,1,,3,2,1,1,0,0,1,32,3,7,,,2,,1,3,0,1,1,4,0.519,1.076,8,1,3,5,2,,2,,3,2,2
