ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,WEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW6A,AW7,AW8,AW9,AW9A,AW9A2
88,933,1,2,1,2,,2,2,1,1,,,,65,5,9,,2,2,,1,2,0,1,1,4,0.671,1.266,35,1,4,4,2,,2,,3,1,3,2,,1
89,933,1,2,1,1,,6,5,2,3,1,0,0,47,2,7,,,1,9,,2,0,1,1,4,1.244,5.035,6,1,2,5,2,,1,,2,7,2,3,,
90,933,2,2,1,1,,2,2,1,1,,,,27,4,9,,2,2,,1,3,0,1,1,4,0.859,1.739,6,2,,,,,,,,,2,3,,
91,933,1,2,1,3,1,2,2,1,1,,,,87,3,3,,,2,,1,1,0,1,1,4,1.613,3.264,6,1,9,9,2,,2,,8,1,2,3,,
92,933,1,2,1,1,,5,2,1,1,0,1,2,32,5,6,,,2,,1,1,0,1,1,4,0.859,1.739,6,2,,,,,,,,,3,1,1,
93,933,2,4,1,3,5,1,,0,1,,,,71,2,1,,,2,,1,2,0,2,1,1,0.787,1.524,42,2,,,,,,,,,2,3,,
94,933,1,2,1,2,,4,2,1,1,0,2,0,37,5,5,,,2,,1,1,0,2,1,1,0.763,1.48,42,1,3,5,2,,2,,2,1,2,3,,
95,933,2,3,1,1,,2,2,1,1,,,,32,2,4,,,2,,1,1,0,1,1,1,0.793,1.539,42,1,4,5,2,,1,,2,1,2,3,,
96,933,1,1,2,1,,4,4,3,1,,,,35,2,3,,,2,,2,2,0,1,2,3,1.071,5.841,40,1,3,3,2,,1,,2,7,3,3,,
97,933,1,2,1,3,4,5,3,1,2,1,0,1,45,2,4,,,2,,1,2,0,2,2,2,0.429,1.661,18,1,2,5,1,1,,,8,1,2,3,,
98,933,1,2,1,1,,2,1,1,0,0,0,1,35,4,9,,1,2,,1,3,0,1,1,3,0.542,0.509,51,1,4,4,2,,2,,2,1,3,2,,1
99,933,1,4,1,3,1,1,,0,1,,,,74,3,1,,,2,,1,2,0,2,1,3,0.608,1.142,13,1,3,5,2,,1,,3,2,2,3,,
100,933,2,2,1,3,2,4,1,0,1,0,0,3,26,2,2,,,1,1,,2,0,2,1,1,1.118,1.084,36,2,,,,,,,,,2,2,,2
101,933,1,2,1,2,,5,2,1,1,0,3,0,32,4,8,,,2,,1,1,0,2,1,3,0.7,1.315,13,1,3,5,8,,,8,8,1,3,3,,
102,933,1,2,1,1,,2,2,1,1,,,,28,4,8,,,2,,1,1,0,1,1,1,0.644,1.247,42,1,3,4,1,2,,,1,1,3,2,,1
103,933,1,2,1,3,1,2,2,1,1,,,,77,2,2,,,2,,1,2,0,1,1,1,1.208,2.341,34,1,3,4,0,,,0,3,7,2,3,,
104,933,1,1,1,2,,5,5,2,3,,,,52,2,3,,,2,,1,2,0,2,1,3,0.668,2.323,47,1,4,5,2,,1,,3,1,2,2,,1
105,933,1,2,1,3,1,2,2,1,1,,,,69,2,8,,,2,,1,1,0,1,1,2,0.468,0.94,26,1,3,5,1,1,,,1,1,1,3,,
106,933,1,2,1,3,1,2,2,1,1,,,,74,1,2,,,2,,1,1,0,1,2,1,0.857,1.764,23,2,,,,,,,,,3,1,1,
107,933,1,2,1,3,5,3,3,2,1,,,,53,3,6,,,2,,1,3,0,2,2,2,0.429,0.83,26,1,3,5,8,,,8,8,1,1,3,,
108,933,2,2,1,1,,2,2,1,1,,,,34,2,99,9,,2,,1,1,0,1,2,1,0.385,0.792,23,1,3,3,0,,,1,3,1,2,3,,
109,933,2,2,1,3,2,4,2,1,1,1,1,0,37,2,1,,,1,1,,3,0,2,1,3,0.727,1.366,12,2,,,,,,,,,2,8,,
110,933,2,5,1,1,,2,1,0,1,0,1,0,39,4,9,,2,2,,1,3,0,2,1,3,0.589,0.554,24,2,,,,,,,,,2,9,,
111,933,1,2,1,3,1,2,2,1,1,,,,74,1,3,,,2,,1,2,0,1,1,1,1.767,3.427,42,1,2,5,1,8,,,1,2,2,3,,
112,933,2,2,1,1,,6,2,1,1,0,2,2,33,2,6,,,2,,1,3,0,1,1,1,0.793,1.539,36,1,3,5,1,2,,,1,1,3,1,2,
113,933,2,5,1,1,,3,1,1,0,0,2,0,47,5,8,,,2,,1,1,0,1,1,1,0.705,0.585,25,1,4,5,1,1,,,1,1,1,3,,
114,933,1,5,1,1,,3,1,0,1,2,0,0,39,2,1,,,2,,1,3,0,2,1,1,0.999,0.829,9,1,2,4,2,,2,,3,2,2,2,,1
115,933,1,2,1,3,1,4,4,1,3,,,,63,3,5,,,2,,1,3,0,1,1,2,0.897,1.803,26,1,4,5,2,,1,,3,2,2,3,,
116,933,1,2,1,3,2,4,2,1,1,0,1,1,43,4,9,,2,2,,1,1,0,2,1,3,0.589,1.108,24,1,3,5,1,1,,,1,1,3,3,,
117,933,1,2,1,1,,2,2,1,1,,,,59,4,8,,,2,,1,1,0,1,1,2,0.727,1.461,26,1,4,5,1,1,,,1,1,1,1,1,
118,933,2,1,1,1,,3,3,1,2,,,,26,2,5,,,2,,2,2,0,1,1,2,0.841,1.688,26,1,3,4,2,,2,,2,7,2,3,,
119,933,1,2,2,3,2,4,2,1,1,0,0,2,28,2,7,,,2,,1,3,0,2,2,1,0.542,1.116,23,1,3,5,2,,1,,3,7,2,2,,1
120,933,1,5,1,3,4,1,,0,1,,,,49,3,3,,,2,,1,2,0,2,1,3,0.488,0.916,54,1,4,5,2,,1,,2,2,2,2,,1
121,933,1,2,1,3,1,2,2,1,1,,,,68,6,7,,,2,,1,1,0,2,1,3,0.608,1.142,13,1,3,5,1,2,,,1,1,1,3,,
122,933,2,1,1,3,4,1,,1,0,,,,32,2,98,2,,2,,1,1,0,1,1,1,0.793,0.77,42,2,,,,,,,,,2,1,1,
123,933,2,2,1,1,,2,2,1,1,,,,28,2,6,,,2,,1,3,0,1,1,1,0.793,1.539,42,1,1,1,0,,,1,1,7,2,3,,
125,933,1,2,1,1,,3,2,1,1,0,1,0,42,4,9,,2,2,,1,1,0,1,1,1,0.659,1.278,42,1,1,5,1,1,,,1,1,1,3,,
126,933,1,2,2,1,,4,2,1,1,1,1,0,41,2,8,,,2,,2,2,0,1,2,2,0.778,1.507,18,1,2,5,2,,1,,2,2,2,3,,
127,933,1,2,1,2,,3,2,1,1,0,1,0,38,2,8,,,2,,5,2,0,2,1,3,0.727,1.366,51,2,,,,,,,,,2,3,,
128,933,1,1,1,1,,2,2,2,0,,,,23,2,5,,,2,,1,3,0,1,1,2,0.709,1.424,39,2,,,,,,,,,1,3,,
129,933,1,2,1,3,2,4,2,1,1,1,1,0,30,2,4,,,2,,1,3,0,2,2,3,0.587,1.401,21,2,,,,,,,,,3,3,,
130,933,2,5,1,1,,3,1,0,1,0,2,0,42,3,4,,,2,,1,3,0,2,1,2,0.707,0.711,39,1,3,5,8,,,8,8,2,2,3,,
131,933,1,1,2,3,5,6,6,4,2,,,,24,1,98,1,,2,,1,3,0,1,1,2,0.709,2.849,26,2,,,,,,,,,2,3,,
132,933,1,2,1,1,,4,2,1,1,1,0,1,36,2,4,,,2,,1,2,0,1,1,2,0.611,1.227,18,1,3,5,2,,1,,2,2,2,3,,
133,933,2,5,1,3,1,1,,0,1,,,,62,3,4,,,2,,1,3,0,2,1,3,0.695,1.306,24,1,4,5,0,,,1,3,1,2,2,,1
134,933,1,2,1,3,4,3,3,2,1,,,,46,3,3,,,2,,1,1,0,1,1,2,0.616,2.473,26,1,4,2,2,,2,,3,1,8,3,,
135,933,2,5,1,1,,1,,0,1,,,,45,3,4,,,2,,2,0,0,2,1,1,0.889,1.724,36,2,,,,,,,,,2,3,,
136,933,1,2,1,3,1,2,2,1,1,,,,65,1,99,9,,2,,1,3,0,1,1,3,1.365,2.565,51,1,3,5,8,,,2,3,2,2,2,,1
137,933,1,2,1,3,5,3,2,1,1,1,0,0,37,1,1,,,2,,1,2,0,1,2,3,1.212,2.889,21,1,4,4,2,,1,,2,7,2,3,,
138,933,2,1,1,1,,1,,0,1,,,,62,4,6,,,2,,1,3,0,2,1,1,0.729,1.414,36,1,4,5,2,,1,,2,7,2,2,,1
139,933,2,2,1,3,4,3,2,1,1,0,0,1,30,2,2,,,2,,1,3,0,2,1,3,0.864,1.623,24,2,,,,,,,,,3,3,,
140,933,1,4,1,3,1,1,,1,0,,,,74,5,8,,,2,,1,3,0,1,2,3,0.447,0.506,37,1,3,5,8,,,1,1,1,2,3,,
141,933,1,5,1,1,,4,3,2,1,1,0,0,45,6,1,,,2,,1,2,0,2,1,3,0.668,1.161,21,1,3,5,2,,1,,2,2,2,3,,
142,933,2,2,1,1,,2,2,1,1,,,,48,1,2,,,2,,1,1,0,1,1,1,2.322,4.504,42,2,,,,,,,,,3,3,,
143,933,1,2,1,1,,4,2,1,1,2,0,0,44,4,9,,1,2,,1,1,2,1,1,1,0.329,0.639,34,1,3,5,1,2,,,1,1,3,2,,2
144,933,1,5,1,3,1,2,2,0,2,,,,76,1,1,,,2,,1,2,0,2,2,1,1.025,2.109,23,2,,,,,,,,,8,8,,
145,933,1,4,1,3,1,1,,0,1,,,,68,2,1,,,2,,1,2,0,2,1,1,0.835,1.384,25,1,3,5,1,1,,,1,1,3,3,,
146,933,1,1,2,1,,3,3,1,2,,,,32,1,1,,,2,,1,2,0,2,1,3,1.698,5.899,21,1,3,5,2,,1,,2,2,2,2,,1
147,933,1,2,1,1,,2,2,1,1,,,,55,2,7,,,2,,1,3,0,2,1,1,0.955,1.583,25,1,4,5,2,,1,,2,2,2,2,,2
148,933,1,2,1,1,,3,3,2,1,,,,36,4,6,,,2,,1,2,0,1,1,1,0.699,2.322,9,1,3,4,1,1,,,1,1,1,3,,
149,933,1,9,1,1,,9,,,,,,,30,1,6,,,2,,9,3,1,1,1,3,0.989,0.929,51,1,4,8,0,,,0,0,7,3,3,,
150,933,1,2,2,1,,4,3,2,1,1,0,0,51,2,7,,,2,,1,2,0,2,1,3,0.488,0.916,12,1,3,5,2,,1,,3,7,2,3,,
151,933,1,2,2,2,,5,2,1,1,1,1,1,39,4,6,,,2,,1,3,0,2,2,2,0.847,1.865,27,1,4,5,1,1,,,1,1,2,1,2,
152,933,1,2,1,1,,6,3,1,2,2,0,1,32,3,3,,,2,,1,1,0,1,1,2,1.501,2.623,20,2,,,,,,,,,3,3,,
153,933,1,1,2,1,,3,3,2,1,,,,21,2,4,,,2,,1,3,0,1,1,2,1.558,5.447,20,2,,,,,,,,,2,3,,
154,933,1,2,1,1,,2,2,1,1,,,,47,2,5,,,2,,1,3,0,2,2,3,0.626,1.707,40,1,4,5,2,,2,,2,1,2,3,,
155,933,2,2,1,1,,5,2,1,1,0,1,2,34,3,5,,,2,,2,3,0,1,1,2,2.115,3.696,29,1,3,5,2,,1,,2,7,1,3,,
156,933,1,1,1,1,,4,2,2,0,1,1,0,46,4,5,,,2,,1,3,0,1,1,3,1.451,2.466,48,1,4,5,2,,8,,3,1,2,3,,
